Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare
2024,2,35412,33195,"Knoxville, TN","Tampa, FL (Metropolitan Area)",550,261,127.06
2024,2,35412,32467,"Knoxville, TN","Miami, FL (Metropolitan Area)",724,352,168.92
2024,2,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",665,430,225.83
2024,2,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",464,317,260.51
2024,2,35096,33195,"Syracuse, NY","Tampa, FL (Metropolitan Area)",1111,347,164.87
2024,2,35096,30852,"Syracuse, NY","Washington, DC (Metropolitan Area)",298,304,214.21
2024,2,34986,30852,"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",880,716,205.92
2024,2,34685,30852,"Savannah, GA","Washington, DC (Metropolitan Area)",549,665,216.54
2024,2,34614,33570,"Salt Lake City, UT","San Diego, CA",626,1125,187.87
2024,2,34614,33214,"Salt Lake City, UT","San Antonio, TX",1087,326,293.11
2024,2,34057,34570,"Portland, OR","Reno, NV",444,268,196.09
2024,2,34057,34614,"Portland, OR","Salt Lake City, UT",630,738,233.85
2024,2,34100,30198,"Philadelphia, PA","Pittsburgh, PA",268,335,236.7
2024,2,34100,30466,"Philadelphia, PA","Phoenix, AZ",2075,999,359.69
2024,2,34100,30559,"Philadelphia, PA","Seattle, WA",2378,803,347.96
2024,2,34100,31123,"Philadelphia, PA","St. Louis, MO",814,565,219.82
2024,2,34100,32457,"Philadelphia, PA","San Francisco, CA (Metropolitan Area)",2521,1432,367.49
2024,2,34100,33195,"Philadelphia, PA","Tampa, FL (Metropolitan Area)",920,1604,189.38
2024,2,34057,30559,"Portland, OR","Seattle, WA",129,390,199.43
2024,1,30135,34761,"Allentown/Bethlehem/Easton, PA","Sanford, FL",882,409,103.45
2024,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,503,223.94
2024,1,30140,30325,"Albuquerque, NM","Denver, CO",349,416,162.97
2024,1,30140,30423,"Albuquerque, NM","Austin, TX",619,258,207.82
2024,1,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,630,187.76
